,Unnamed: 0,ClubID,ClubName,Address,EventID,EventName,Date,LineUp,Location
0,0.0,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",707619.0,"Light My Fridays: with Ariane Effect, DJ H-ERA, Chris Ahn", 10 April 2015 ,"['DJ H.ERA', 'Ariane Effect', 'Chris Ahn']","(46.7947773, 7.1568081)"
1,1.0,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",673119.0,Chris Ahn's 4AM Mixtape - Ep. 4, 14 November 2014 ,['Chris Ahn'],"(46.7947773, 7.1568081)"
2,2.0,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",672938.0,Chris Ahn's 4AM Mixtape - Episode 1, 16 May 2014 ,['Chris Ahn'],"(46.7947773, 7.1568081)"
3,0.0,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",707619.0,"Light My Fridays: with Ariane Effect, DJ H-ERA, Chris Ahn", 10 April 2015 ,"['DJ H.ERA', 'Ariane Effect', 'Chris Ahn']","(46.7947773, 7.1568081)"
4,1.0,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",673119.0,Chris Ahn's 4AM Mixtape - Ep. 4, 14 November 2014 ,['Chris Ahn'],"(46.7947773, 7.1568081)"
5,2.0,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",672938.0,Chris Ahn's 4AM Mixtape - Episode 1, 16 May 2014 ,['Chris Ahn'],"(46.7947773, 7.1568081)"
6,0.0,10186.0, Rocking Chair,"Avenue de Gilamont 60; 1800, Vevey",365245.0,Hacienda 30th Birthday Tour, 05 May 2012 ,"['', ' New Order) >>>Andrew Weatherall (Two Lone Swordsmen) >>>Darren Emerson (Detone', ' Underworld)<<<<<<<', '>>>>Peter Hook (Joy Division']","(46.4720036, 6.852230199999998)"
7,1.0,10186.0, Rocking Chair,"Avenue de Gilamont 60; 1800, Vevey",284885.0,Black & White Party, 30 June 2010 ,['Lemonick'],"(46.4720036, 6.852230199999998)"
8,2.0,10186.0, Rocking Chair,"Avenue de Gilamont 60; 1800, Vevey",49151.0,Jamie Lidell, 23 April 2008 ,['Jamie Lidell'],"(46.4720036, 6.852230199999998)"
9,0.0,102059.0, Acapella Bar,"Place de la Gare, 1957 Ardon, Valais, Suisse",693409.0,The Future Color Of Sound, 17 April 2015 ,"['Dj Never Die', 'Jack Demon', 'Vitronic ']","(46.2084859, 7.270119599999999)"
10,0.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",881381.0,Lila mit Serafin, 23 September 2016 ,"[' Christian Elefante', ' Emre', ' Valentin', ' Guel', 'Serafin']","(47.49477690000001, 8.717943900000002)"
11,1.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",862135.0,Backstreet Noise x Sunday Mess, 31 July 2016 ,"[' Beppe Loda (Invisible City Editions)', ' Offen Music)', 'Vladimir Ivkovic (Salon Des Amateurs']","(47.49477690000001, 8.717943900000002)"
12,2.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",832959.0,Phantom Island Night, 06 May 2016 ,"['Lexx (ESP Institute', ' Permanent Vacation', ' Kejeblos (Phantom Island)', ' DFA)']","(47.49477690000001, 8.717943900000002)"
13,3.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",796715.0,Heute Tanz mit Jan Schulte aka Bufiman aka Wolf Müller, 20 February 2016 ,"['Jan Schulte', ' El Tigre Sound (zweikommasieben)', ' Wolf Müller', ' Bufiman']","(47.49477690000001, 8.717943900000002)"
14,4.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",776346.0,Heute Tanz mit Khidja, 28 November 2015 ,['Khidja'],"(47.49477690000001, 8.717943900000002)"
15,5.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",767162.0,"Sunday Mess with Daniele Cosmo, Marc D'arrigo & Herman", 22 November 2015 ,"[""Marc D'Arrigo"", 'Herman', 'Daniele Cosmo']","(47.49477690000001, 8.717943900000002)"
16,6.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",748880.0,Heute Tanz mit Disco Halal, 26 September 2015 ,"['Kaan Düzarat (FOC Edits/Istanbul)', ' Mehmet Aslan (Huntleys & Palmers/Berlin)', ' Moscoman (Correspondant/Tel Aviv)']","(47.49477690000001, 8.717943900000002)"
17,7.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",752699.0,10 Jahre Verein Radio Stadtfilter, 18 September 2015 ,"['Dave Eleanor', 'Lord Kesseli & The Drums']","(47.49477690000001, 8.717943900000002)"
18,8.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",715622.0,Heute Tanz mit Timothy J. Fairplay , 23 May 2015 ,"[' DJ Aunt One & Napoleton (Talen/Laserwolf)', ' Faber (Lux Rec)', 'Timothy J. Fairplay (Emotional Response)']","(47.49477690000001, 8.717943900000002)"
19,9.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",687027.0,Heute Tanz mit Alma Negra, 28 March 2015 ,"['Alma Negra (Sofrito', ' Basic Fingers', ' Highlife)']","(47.49477690000001, 8.717943900000002)"
20,10.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",681287.0,Heute Tanz mit Lexx & Kejeblos, 21 February 2015 ,"['Lexx (Permanent Vacation)', ' Kejeblos (Phantom Island)']","(47.49477690000001, 8.717943900000002)"
21,11.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",639235.0,Lux Rec presents, 18 October 2014 ,"[' Cosmo & Faber', 'Cold Colors (F)']","(47.49477690000001, 8.717943900000002)"
22,12.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",639185.0,"Larytta (Creaked Records, Lausanne)", 10 October 2014 ,"[' Tako & Jamie Tiller (Redlight Records', ' Lausanne)', ' Kejeblos (Phantom Islands)', ' Music From Memory / Amsterdam)', 'Larytta (Creaked Records', ' J. Sayne (Hum Records).']","(47.49477690000001, 8.717943900000002)"
23,13.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",639183.0,Kaboom, 04 October 2014 ,"['DJ P-Tess', ' Faust (Bass Vandalizm).']","(47.49477690000001, 8.717943900000002)"
24,14.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",602242.0,Lux Rec, 14 June 2014 ,"[' Daniele Cosmo', ' Fabio Riccio', 'Aurora Halal (Lovers Rock/Mutual Dreaming)']","(47.49477690000001, 8.717943900000002)"
25,15.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",589987.0,Das Lied Schläft in der Maschine, 03 May 2014 ,"[' Raban', ' Oscar Schubaq', "" T'N'T"", ' LichtDEFEKTE von Van Nutt.', 'Eli Verveine']","(47.49477690000001, 8.717943900000002)"
26,16.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",569536.0,Lux Rec, 22 February 2014 ,"['Twoets', 'LIVE: Alessandro Parisi (I)', 'D Cosmo']","(47.49477690000001, 8.717943900000002)"
27,17.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",538498.0,Schlaflos in Winterthur with James Pants, 14 December 2013 ,"['James Pants (Stones Throw/USA)', 'J. Sayne (Hum-Records)', 'Kejeblos (Drumpoet)']","(47.49477690000001, 8.717943900000002)"
28,18.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",529736.0,Radio Stadtfilter Party, 22 November 2013 ,"[' Malik', 'MTDF', ' Das Pferd  (live)']","(47.49477690000001, 8.717943900000002)"
29,19.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",538495.0,Lux Rec, 16 November 2013 ,"['', 'CCO', 'Echo 106', 'D Cosmo & Faber']","(47.49477690000001, 8.717943900000002)"
30,20.0,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",513379.0,Das House w TAF, 13 September 2013 ,"[' Das HOUSE)', 'TAF (Art Of Dark', 'Berber & Pasta (Lost Promises', 'Hermansson & Martinez (Schwerelos)', ' Baile Musik - DE)']","(47.49477690000001, 8.717943900000002)"
