location,event,date,artists,genre,coordinates
Zürich,Andy-Gruber-Band,2016-04-22,['Andy Gruber Band '],traditional,"(47.3768866, 8.541694)"
Basel,Lilian's-White-Party,2016-04-22,['DJ Raykard '],Pop,"(47.55959860000001, 7.588576099999999)"
Basel,Orgelspiel-zum-Feierabend,2016-04-22,['Martin Sander '],Classic,"(47.55959860000001, 7.588576099999999)"
Dietikon,Feierabendmusik,2016-04-22,['Bernhard Hörler '],Classic,"(47.4053885, 8.39977)"
Zürich,Oomph,2016-04-22,['Oomph '],Electronic,"(47.3768866, 8.541694)"
Zürich,Plusmacher,2016-04-22,['Plusmacher '],,"(47.3768866, 8.541694)"
Zürich,Klavierabend,2016-04-22,['Konstantin Scherbakov '],Classic,"(47.3768866, 8.541694)"
Winterthur,The-Bosshoss,2016-04-22,"['The Bosshoss ', ' The Sore Loosers ', ' Viper Sniper ']",Pop,"(47.49881959999999, 8.723688899999999)"
Bern,Internationales-Jazzfestival-Bern,2016-04-22,['T. S. Monk Sextet '],,"(46.9479739, 7.447446800000001)"
Glattbrugg,Klassisches-Konzert,2016-04-22,"[' Markus Brönnimann ', ' Barbara Tillmann ', ' Ulrike Jacoby ', ' Muriel Schweizer ', ' Anita Jehli ', ' Jaël Bertschinger ']",Classic,"(47.43468010000001, 8.567109799999999)"
Zürich,Les-espaces-acoustiques,2016-04-22,[' Esther Fritzsche '],Classic,"(47.3768866, 8.541694)"
Pratteln,Borknagar,2016-04-22,"['Borknagar ', ' Kampfar ', ' Diabolical ']",,"(47.5183198, 7.6919889)"
Basel,Liederabend,2016-04-22,"['Lia Andres ', ' Debora Büttner ', ' Raphael Höhn ', ' Tobias Wicky ', ' Maki Wiederkehr ', ' Elina Kaykova ']",Classic,"(47.55959860000001, 7.588576099999999)"
Bern,Schuberts-Tragische,2016-04-22,[' Veronika Eberle '],Classic,"(46.9479739, 7.447446800000001)"
Basel,Jazzfestival-Basel,2016-04-22,"[' Kenny Garrett ', ' Vernell Brown ', ' Corcoran Holt ', ' Marcus Baylor ', ' Rudy Bird ']",,"(47.55959860000001, 7.588576099999999)"
Bern,Oli-Kehrli,2016-04-22,['Oli Kehrli '],Pop,"(46.9479739, 7.447446800000001)"
Bern,Inside-the-Baxter-Building,2016-04-22,['Inside the Baxter Building '],Electronic,"(46.9479739, 7.447446800000001)"
Zürich,Die-Musik-Rundschau,2016-04-22,"[' Alex the Flipper ', ' Wrongkong ']",Electronic,"(47.3768866, 8.541694)"
Zürich,Buck-Wolfarth,2016-04-22,"[' Christian Buck ', ' Christian Wolfarth ']",,"(47.3768866, 8.541694)"
Luzern,Kontraste-I,2016-04-22,[' Roman Blum '],Classic,"(47.05016819999999, 8.309307200000001)"
Zürich,Nada-Surf,2016-04-22,"['Nada Surf ', ' Farewell Dear Ghost ']",,"(47.3768866, 8.541694)"
Münchenstein,Karikatura,2016-04-22,['Karikatura '],,"(47.5226485, 7.615066100000002)"
Heimberg,Die-Steinkönigin,2016-04-22,"[' Silvia Jost ', ' Kathrin Hartmann ']",Classic,"(46.7842257, 7.6054974)"
Zürich,Tankcsapda,2016-04-22,['Tankcsapda '],,"(47.3768866, 8.541694)"
Zürich,Sediment,2016-04-22,"[' Thomas Fischli ', ' Patricia Wyder ']",,"(47.3768866, 8.541694)"
Thun,Lifestream,2016-04-22,"[' Fabian Baur ', ' Simon Rupp ', ' Philipp Bühlmann ', ' Daniel Weber ']",,"(46.7579868, 7.6279881)"
Schaffhausen,Red-Hot-Chilli-Pipers,2016-04-22,['Red Hot Chilli Pipers '],,"(47.6958897, 8.6380488)"
Zürich,Il-Tempo-Gigante,2016-04-22,['Il Tempo Gigante '],Electronic,"(47.3768866, 8.541694)"
Basel,Jazzfestival-Basel,2016-04-22,"[' Johannes Enders ', ' Orrin Evans ', ' Joris Teepe ', ' Howard Curtis ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,Heymoonshaker,2016-04-22,"[' Andrew Balcon ', ' David Crowe ']",,"(47.3768866, 8.541694)"
Zürich,Musik-im-Rausch,2016-04-22,"['Sabina Leone ', ' Deborah Marchetti ', ' Jonas Iten ', ' Daniel Vaiman ']",Classic,"(47.3768866, 8.541694)"
Liebefeld,Simon-Spiess-Trio,2016-04-22,"[' Simon Spiess ', ' Bänz Oester ', ' Jonas Ruther ']",,"(46.933331, 7.416668)"
Romanshorn,Rosset-Meyer-Geiger,2016-04-22,"[' Josquin Rosset ', ' Gabriel Meyer ', ' Jan Geiger ']",,"(47.5657078, 9.3771959)"
Winterthur,Giuda,2016-04-22,"['Giuda ', ' Faz Waltz ']",,"(47.49881959999999, 8.723688899999999)"
Winterthur,Skerryvore,2016-04-22,['Skerryvore '],,"(47.49881959999999, 8.723688899999999)"
Zürich,Bukowski-&-Spezialmaterial,2016-04-22,['Fenster '],Electronic,"(47.3768866, 8.541694)"
Thun,Small-Time-Giants,2016-04-22,['Small Time Giants '],,"(46.7579868, 7.6279881)"
Zürich,Adrian-Frey-Quintet,2016-04-22,"[' Daniel Schenker ', ' Felix Utzinger ', ' Adrian Frey ', ' Patrick Sommer ', ' Pius Baschnagel ']",,"(47.3768866, 8.541694)"
Aarau,J-Who,2016-04-22,['J Who '],,"(47.390434, 8.045701499999998)"
Thun,David-Hope,2016-04-22,['David Hope '],,"(46.7579868, 7.6279881)"
Bern,Marcel-Zaes-Isomorph,2016-04-22,"['Classicus Quartet ', ' József Rácz ', ' Réka Baksai ', ' Péter Tornyai ', ' Tamás Zétényi ']",Classic,"(46.9479739, 7.447446800000001)"
Zürich,Latin-Touch,2016-04-22,[' dance animation by Alexander Martinez '],,"(47.3768866, 8.541694)"
Basel,Nachtklang-Variationen-und-Veränderungen,2016-04-22,"['Isabelle Schnöller ', ' Matthias Arter ', ' Markus Niederhauser ', ' Matthias Bühlmann ', ' Olivier Darbellay ']",Classic,"(47.55959860000001, 7.588576099999999)"
Luzern,Clinton-Fearon,2016-04-22,['Clinton Fearon '],,"(47.05016819999999, 8.309307200000001)"
Luzern,Piano-Entertainment,2014-02-14,['Christian Mettler '],Pop,"(47.05016819999999, 8.309307200000001)"
Basel,Orgelspiel-zum-Feierabend,2014-02-14,['Susanne Doll '],Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Mayday-Parade,2014-02-14,"['Mayday Parade ', ' Our Last Night ', ' Man Overboard ', ' Secrets ', ' Divided By Friday ']",,"(47.3768866, 8.541694)"
Dietikon,Feierabendmusik-in-der-Kirche,2014-02-14,"['Doris Grossenbacher ', ' Bernhard Hörler ']",Classic,"(47.4053885, 8.39977)"
Luzern,Chopin-2,2014-02-14,[' Nelson Freire '],Classic,"(47.05016819999999, 8.309307200000001)"
Zürich,Internationales-Country-Music-Festival,2014-02-14,"['Mustang Sally ', ' The Shanes ']",,"(47.3768866, 8.541694)"
Schaffhausen,Chopin-und-eine-Romanze-und-verklärte-Nacht,2014-02-14,[' Martin P. Werner '],Classic,"(47.6958897, 8.6380488)"
Arbon,Q-tett,2014-02-14,"[' Urs C. Eigenmann ', ' Erwin Pfeifer ', ' Pino Buoro ', ' Nicole Aravena ', ' Berti Lampert ']",,"(47.51409049999999, 9.4268301)"
Zürich,Marcel-Buergi,2014-02-14,['Marcel Buergi '],Pop,"(47.3768866, 8.541694)"
Zürich,Futurum-Der-Komponist-als-Prophet,2014-02-14,"[' Stefka Perifanova ', ' Karin Dornbusch ', ' von und mit Helena Winkelman ']",Classic,"(47.3768866, 8.541694)"
Zürich,A-Valentine's-Dinner-Concert,2014-02-14,"['Rodrigo Botter Maio ', ' Antonela Lucia ']",,"(47.3768866, 8.541694)"
Romanshorn,Stickerei-Jazz-Trio-feat.-Sutter-&-Meyer-&-Tiefenthaler,2014-02-14,"[' Miriam Sutter ', ' Romeo Meyer ', ' Erich Tiefenthaler ', ' Christoph Seitler ', ' Dave Maeder ', ' Adi Gerlach ']",,"(47.5657078, 9.3771959)"
Zürich,Acoustic-Friday,2014-02-14,"[""M'Adam"", ' Sophie Adam ', ' Florian Weiss ', ' Anatole Buccella ']",,"(47.3768866, 8.541694)"
Zürich,Depeche-Mode,2014-02-14,['Depeche Mode '],Electronic,"(47.3768866, 8.541694)"
Bern,Boys-Will-Be-Boys,2014-02-14,"[' Mars Williams ', ' Barry Guy ', ' Andreas Schaerer ', ' Lucas Niggli ']",,"(46.9479739, 7.447446800000001)"
Luzern,Riders-Connection,2014-02-14,['Riders Connection '],,"(47.05016819999999, 8.309307200000001)"
Rüeggisberg,Bachsuiten-und-sonaten,2014-02-14,"['Mauro Valli ', ' Dominik Röglin ']",Classic,"(46.821399, 7.438559199999999)"
Zürich,Gerard,2014-02-14,['Gerard '],Electronic,"(47.3768866, 8.541694)"
Zürich,Friedli-Irniger-Ravitz,2014-02-14,"[' Gabriela Friedli ', ' Christoph Irniger ', ' Ziv Ravitz ']",,"(47.3768866, 8.541694)"
Zürich,Rembrandt-Frerichs-Trio,2014-02-14,"['Rembrandt Frerichs Trio ', ' Rembrandt Frerichs ', ' Tony Overwater ', ' Vinsent Planjer ']",,"(47.3768866, 8.541694)"
Zürich,Eggs-Laid-By-Tigers,2014-02-14,['Eggs Laid By Tigers '],,"(47.3768866, 8.541694)"
Stäfa,Canteca-De-Macao,2014-02-14,['Canteca De Macao '],,"(47.2392343, 8.7351356)"
Feuerthalen,Rudy-Rotta-Band,2014-02-14,['Rudy Rotta Band '],,"(47.6885343, 8.649728500000002)"
Basel,Ivan-Paduart-Trio,2014-02-14,"[' Trio Ivan Paduart ', ' Philippe Aerts ', ' Hans Van Oosterhout ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,15-Jahre-Kontrabassduo-Studer-Frey,2014-02-14,"['John Butcher ', ' Peter K Frey ', ' Daniel Studer ']",,"(47.3768866, 8.541694)"
Zürich,Brother-&-Bones,2014-02-14,['Brother & Bones '],,"(47.3768866, 8.541694)"
Bern,Dead-Prez,2014-02-14,['Dead Prez '],,"(46.9479739, 7.447446800000001)"
Zürich,Thee-Silver-Mt.-Zion-Memorial-Orchestra,2014-02-14,['Thee Silver Mt. Zion Memorial Orchestra '],,"(47.3768866, 8.541694)"
Thun,David-Philips,2014-02-14,['David Philips '],Pop,"(46.7579868, 7.6279881)"
Luzern,Viza,2014-02-14,['Viza '],,"(47.05016819999999, 8.309307200000001)"
Rubigen,Boppin'-B,2014-02-14,"[""Boppin' B ""]",,"(46.8999997, 7.543245300000002)"
Winterthur,Junip,2014-02-14,['Junip '],,"(47.49881959999999, 8.723688899999999)"
Bern,Parts-&-Pieces,2014-02-14,"[' Oli Kuster ', ' Claudia Marino ', ' Raphael Heggendorn ', ' Jérémie Jolo ']",,"(46.9479739, 7.447446800000001)"
Wil,Moop-Mama,2014-02-14,['Moop Mama '],,"(47.46356169999999, 9.047909699999998)"
Solothurn,Die-abstürzenden-Brieftauben,2014-02-14,['Die abstürzenden Brieftauben '],,"(47.2088348, 7.532291)"
Basel,Kalles-Kaviar,2014-02-14,['Kalles Kaviar '],,"(47.55959860000001, 7.588576099999999)"
Lausanne,Adieu-Gary-Cooper,2014-02-14,['Adieu Gary Cooper '],,"(46.516054, 6.608998000000001)"
Kriens,Tamikrest,2014-02-14,['Tamikrest '],,"(47.03419779999999, 8.277255199999997)"
Bern,Los-Terribles-De-Tijuana,2014-02-14,['Los Terribles De Tijuana '],,"(46.9479739, 7.447446800000001)"
Zürich,Philipp-Eden-Trio,2014-02-14,"[' Philipp Eden ', ' Dominique Girod ', ' Nicolas Stocker ']",,"(47.3768866, 8.541694)"
Bern,Inside-The-Baxter-Building,2014-02-14,"[' Simon Petermann ', ' Christian Schütz ', ' Samuel Würgler ', ' Fabian Gutscher ']",,"(46.9479739, 7.447446800000001)"
Zürich,Kammermusik-Lunchkonzert,2016-09-08,"['Felix-Andreas Genner ', ' Mischa Greull ', ' George-Cosmin Banica ', ' David Greenlees ']",Classic,"(47.3768866, 8.541694)"
Luzern,Lucerne-Festival-Sinfoniekonzert-25,2016-09-08,[' Sandrine Piau '],Classic,"(47.05016819999999, 8.309307200000001)"
Solothurn,1.-Sinfoniekonzert,2016-09-08,[' Brigitte Hool '],Classic,"(47.2088348, 7.532291)"
Zürich,Mother's-Finest,2016-09-08,"[' Joyce Kennedy ', ' Glenn Murdock ', ' Moses Mo ', ' John Hayes ', ' Wyzard ', ' Dion Murdock ']",,"(47.3768866, 8.541694)"
Winterthur,Vein,2016-09-08,"[' Michael Arbenz ', ' Thomas Lähns ', ' Florian Arbenz ']",,"(47.49881959999999, 8.723688899999999)"
Luzern,Slum-Village,2016-09-08,['Slum Village '],,"(47.05016819999999, 8.309307200000001)"
Bern,Dänu-Brüggemann's-Mongk,2016-09-08,"[' Dänu Brüggemann ', ' Pesche Enderli ', ' Ueli Enderli ', ' Marc Rossier ']",,"(46.9479739, 7.447446800000001)"
Aarau,Götz-Widmann,2016-09-08,['Götz Widmann '],Pop,"(47.390434, 8.045701499999998)"
Basel,René-Moseles-Ramblin',2016-09-08,"[' René Mosele ', ' Dave Feusi ', ' Patrick Sommer ', ' Alfred Vogel ']",,"(47.55959860000001, 7.588576099999999)"
Thalwil,The-Red-Hot-Serenaders,2016-09-08,"[' Rainer Wöffler ', ' Tanja Wirz ']",,"(47.2949282, 8.564479899999998)"
Zürich,Musik-im-Rausch-Höllensturz,2016-09-08,"['Deborah Marchetti ', ' Christophe Dufaux ', ' Gregor Müller ']",Classic,"(47.3768866, 8.541694)"
Zürich,Bukowski,2016-09-08,['Dinner '],Electronic,"(47.3768866, 8.541694)"
Baden,Ebb-&-Flow-Trio,2016-09-08,"['Ebb & Flow Trio ', ' Gabby Gordon ', ' Kier Morten ', ' Ronen Gorden ']",,"(47.47288, 8.308089999999998)"
Zürich,Where's-Africa,2016-09-08,"['Omri Ziegele ', ' Yves Theiler ', ' Dario Sisera ']",,"(47.3768866, 8.541694)"
Rubigen,Brothers-in-Blues,2016-09-08,['Brothers in Blues '],,"(46.8999997, 7.543245300000002)"
Vevey,The-Warlocks,2016-09-08,"['The Warlocks ', ' Dead Rabbits ']",,"(46.4628333, 6.841919199999999)"
Schaffhausen,Upstairs-&-Loud,2016-09-08,"['Radioactivity ', ' Bad Sports ']",Pop,"(47.6958897, 8.6380488)"
Crans-Montana,Caprices-Festival,2013-03-11,[' Oil '],,"(46.3130118, 7.487240399999999)"
Solothurn,The-Larry-Woodley-Power-Trio,2013-03-11,"[' Larry Woodley ', ' Gaedon Luscher ', ' Salvatore Lombardo ']",,"(47.2088348, 7.532291)"
Zürich,Spektrum-plus-Pling,2013-03-11,['Studierende der ZHdK '],Classic,"(47.3768866, 8.541694)"
Zürich,Liedrezital-Zürich,2013-03-11,"['Laurent Naouri ', ' Sarah Tysman ']",Classic,"(47.3768866, 8.541694)"
Zürich,The-Hunters,2013-03-11,['The Hunters '],,"(47.3768866, 8.541694)"
Centre-de-Congrès-le-Régent,Crans-Montana,2013-03-11,"['Björk ', ' The Weeknd ']",Björk,"(46.3052853, 7.462124500000001)"
Zürich,Example,2013-03-11,['Example '],Pop,"(47.3768866, 8.541694)"
Flawil,Buddha-Scheidegger-Trio,2013-03-11,"[' Wieni Keller ', ' Buddha Scheidegger ', ' Hans Schläpfer ']",,"(47.41337069999999, 9.1870297)"
Kulturfabrik-Kofmehl,Solothurn,2013-03-11,['Stevie Cochran '],,"(47.200528, 7.528306)"
Winterthur,Nathaniel-Robin-Mann,2013-03-11,['Nathaniel Robin Mann '],Pop,"(47.49881959999999, 8.723688899999999)"
Chur,Konzert,2013-03-11,"[' Christoph Ess ', ' Timo Steininger ', ' Sebastian Schorr ', ' Stephan Schottstätt ']",Classic,"(46.85078350000001, 9.531985900000002)"
Baden,Yves-Theiler-Trio,2013-03-11,"[' Yves Theier ', ' Valentin Dietrich ', ' Lukas Mantel ']",,"(47.47288, 8.308089999999998)"
Zürich,Scarlett-O'Hanna,2013-03-11,"[""Scarlett O'Hanna ""]",Pop,"(47.3768866, 8.541694)"
Luzern,Bachelorprojekt-Konzerte,2013-03-11,"[' Gianluca Giger ', ' Valerio Lepori ', ' Mischa Maurer ', ' Clemens Kuratle ', ' Claudio Berger ', ' Michael Wosahlik ', ' Serge Hauri ', ' Lukas Kurmann ', ' Simon Gautsch ', ' Rea Hunziker ', ' Sascha Frischknecht ']",,"(47.05016819999999, 8.309307200000001)"
Kuppel,Basel,2013-03-11,"['Tina Dico ', ' Helgi Jonsson ']",,"(47.54984229999999, 7.5840851)"
Zürich,Pierre-Favre-Artist-in-Residence,2013-03-11,"[' Andreas Tschopp ', ' Bernhard Bamert ', ' Nils Wogram ', ' Jan Schreiner ', ' Pierre Favre ', ' Markus Lauterburg ']",,"(47.3768866, 8.541694)"
Basel,John-Scofield-Organ-Trio-feat.-Larry-Goldings,2013-03-11,"[' John Scofield ', ' Larry Goldings ', ' Greg Hutchinson ']",,"(47.55959860000001, 7.588576099999999)"
Winterthur,Jazz-Matinee,2015-12-13,['Soul Sernenade '],,"(47.49881959999999, 8.723688899999999)"
Zürich,Zauberflöte-Flötenzauber,2015-12-13,[' Urban Frey '],Classic,"(47.3768866, 8.541694)"
Luzern,Weihnachtsmatinee-Wiener-Klassik,2015-12-13,[' Louis Schwizgebel '],Classic,"(47.05016819999999, 8.309307200000001)"
Luzern,Albissers-Buntwösch,2015-12-13,['Albissers Buntwösch '],Pop,"(47.05016819999999, 8.309307200000001)"
Luzern,Christmas-Love,2015-12-13,"[' Marc Storace ', ' Jonas Gross ']",Classic,"(47.05016819999999, 8.309307200000001)"
Bern,Sunday-12PM-Jazz,2015-12-13,"[' Philipp Moll ', ' Stewy von Wattenwyl ', ' Kevin Chesham ']",,"(46.9479739, 7.447446800000001)"
Volketswil,Adventskonzert,2015-12-13,['Daniela Lorenz '],,"(47.3895115, 8.687449599999999)"
Uster,Adelheid-oder-Lieder-für-Chind-und-Chindschöpf,2015-12-13,"[' Letizia Fiorenza ', ' David Sautter ']",Pop,"(47.3482747, 8.717873899999999)"
Zürich,Wenn-Kühe-ihre-Flecken-verlieren,2015-12-13,"['Fabian Carisch ', ' Giulia Cudini ', ' Lydia Liebi ']",Pop,"(47.3768866, 8.541694)"
Wädenswil,Adventskonzert,2015-12-13,[' Bridget Greason-Sharp '],Classic,"(47.22968710000001, 8.6718189)"
Winterthur,Weihnachtskonzert,2015-12-13,[' Mathias Clausen '],Classic,"(47.49881959999999, 8.723688899999999)"
Elgg,Adventskonzert,2015-12-13,[' Leana Schmid '],Classic,"(47.4910721, 8.866546099999999)"
Basel,Abendmusiken-in-der-Predigerkirche-Johann-Kuhnau,2015-12-13,"[' Maria Cristina Kiehr ', ' Miriam Feuersinger ', ' Lisa Lüthi ', ' Marcus Niedermeyr ']",Classic,"(47.55959860000001, 7.588576099999999)"
Thalwil,Feuerwerk-der-Improvisation,2015-12-13,"['Monika Baer ', ' Sergio Ciomei ']",Classic,"(47.2949282, 8.564479899999998)"
Bern,Die-grosse-Weihnachtsgala-Glanzlichter-zu-Weihnachten,2015-12-13,[' Anica Defuns '],Classic,"(46.9479739, 7.447446800000001)"
Zürich,Weihnachtsmusik,2015-12-13,[' Stephanie Pfeiffer '],Classic,"(47.3768866, 8.541694)"
Basel,Kurz-vor-der-Erlösung,2015-12-13,"['Franziska von Fischer ', ' Fabienne Hadorn ', ' Krishan Krone ', ' Michael Wolf ', ' Markus Mathis ', ' Maru Rieben ']",Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Zürich-klingt,2015-12-13,"['Ruben Drole ', ' Muriel Schwarz ', ' Jonas Kreienbühl ', ' Andrea Wiesli ']",Classic,"(47.3768866, 8.541694)"
Zürich,Judas-Maccabäus,2015-12-13,"[' Judith Imhof ', ' Mirjam Blessing ', ' Richard Resch ', ' Ernst Buscagne ']",Classic,"(47.3768866, 8.541694)"
Basel,Weihnachtsgeschichten,2015-12-13,"[' Christoph Rudolf ', ' Ulla Westvik ', ' Felix Rienth ', ' Ismael Arróniz ']",Classic,"(47.55959860000001, 7.588576099999999)"
Luzern,Christmas-Love,2015-12-13,"[' Marc Storace ', ' Jonas Gross ']",Classic,"(47.05016819999999, 8.309307200000001)"
Basel,Nun-komm-der-Heiden-Heiland,2015-12-13,['Andreas Liebig '],Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Tree-Wind-&-Flowers,2015-12-13,['Nord-Hofmann-Stahel '],,"(47.3768866, 8.541694)"
Zürich,Le-Trio-Joubran,2015-12-13,"[' Samir Joubran ', ' Wissam Joubran ', ' Adnan Joubran ', ' Youssef Hbeisch ']",,"(47.3768866, 8.541694)"
Bülach,The-Dixie-Corporation-&-The-Mariettes,2015-12-13,"[' Markus Hächler ', ' Paul Tantanini ', ' John Service ', ' Thomas Grüninger ', ' Rolf Winiger ']",,"(47.5160671, 8.5419603)"
Brugg,Tree-Neye,2015-12-13,"[' Jonas Winterhalter ', ' Sebastian von Keler ', ' Oliver Friedli ', ' Hagen Neye ', ' Jan Schwinning ']",,"(47.48673549999999, 8.2109103)"
Zürich,Xylouris-White,2015-12-13,['Xylouris White '],Pop,"(47.3768866, 8.541694)"
Zürich,Te-Deum-In-nativitatem-domini-canticum,2015-12-13,"[' Margrit Fluor ', ' Marni Schwonberg ', ' Sara Lilly ', ' Anja Kühn ', ' Nicolas Savoy ', ' Christian Villiger ']",Classic,"(47.3768866, 8.541694)"
Bern,Hidden-Orchestra,2015-12-13,"['Hidden Orchestra ', ' support: Andrea Belfi ']",Electronic,"(46.9479739, 7.447446800000001)"
Zürich,Französische-Klassiker-des-20.-Jahrhunderts,2015-12-13,"['Lisa Batiashvili ', ' Valeriy Sokolov ', ' Gérard Caussé ', ' Gautier Capuçon ', ' Frank Braley ']",Classic,"(47.3768866, 8.541694)"
Zürich,Editors,2015-12-13,['Editors '],,"(47.3768866, 8.541694)"
Bern,Bugge-Wesseltoft,2015-12-13,['Bugge Wesseltoft '],,"(46.9479739, 7.447446800000001)"
Winterthur,20-Jahre-Berg-&-Ruosch,2015-05-23,"['Lisa Berg ', ' David Ruosch ', ' Christoph Grab ']",,"(47.49881959999999, 8.723688899999999)"
Dornach,Die-Sieben-in-der-Zwölf-wohltemperiert,2015-05-23,"['Christian Ginat ', ' Stefan Müller ', ' Johann Sonnleitner ']",Classic,"(47.4790491, 7.6170412)"
Luzern,Piano-Entertainment,2015-05-23,['Jozsef Sarkozy '],Classic,"(47.05016819999999, 8.309307200000001)"
Weggis,Anthony-Caputo,2015-05-23,['Anthony Caputo '],,"(47.0338792, 8.425278)"
Luzern,Master-Abschlusskonzerte,2015-05-23,"['Amadeus Fries ', 'Fabian Hänni ', ' Elio Amberg ', ' Laura Schenk ', ' Duke Gale ', ' Lukas Kohler ']",,"(47.05016819999999, 8.309307200000001)"
Zürich,Murder-By-Death,2015-05-23,['Murder By Death '],,"(47.3768866, 8.541694)"
Pratteln,Metal-Attack,2015-05-23,"['Darkmoon ', ' Finsterforst ']",,"(47.5183198, 7.6919889)"
Zürich,Petite-messe-solennelle,2015-05-23,"[' Rachel Harnisch ', ' Judith Schmid ', ' Martin Zysset ', ' Klaus Mertens ', ' André Briel ']",Classic,"(47.3768866, 8.541694)"
Baden,Blues-Festival-Baden,2015-05-23,"['Luca Sestak ', ' Luca Sestak ']",,"(47.47288, 8.308089999999998)"
Zürich,Tyler-The-Creator,2015-05-23,['Tyler The Creator '],,"(47.3768866, 8.541694)"
Basel,Sehnsucht,2015-05-23,"['Cristina Branco Quartett ', ' Cristina Branco ', ' Ricardo Dias ', ' Jose Manuel Neto ', ' Bernardo Moreira ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,Gregor-Meyle,2015-05-23,['Gregor Meyle '],Pop,"(47.3768866, 8.541694)"
Zürich,Hits-Recycled,2015-05-23,"['Raphael Walser ', ' Roland Wäspe ', ' Urs Müller ', ' David Meier ', ' Roman Nowka ', ' Samuel Kühni ']",,"(47.3768866, 8.541694)"
Basel,Together-&-Beyond-Quartet-feat.-James-Uhart,2015-05-23,"[' Gino Sitson ', ' James Uhart ', ' Stephan Kurmann ', ' Julio Barreto ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,During-Walking,2015-05-23,"[' Michael Süess ', ' Nicolas Indlekofer ', ' Basil Zinsli ', ' Daniel Affentranger ', ' Lars Schmid ', ' Pino Zortea ']",,"(47.3768866, 8.541694)"
Baden,Azucaribe-Quartett,2015-05-23,"[' Carlos Ramirez ', ' Freddy Benitez ', ' Daniel Portmann ', ' Arthur Furrer ']",,"(47.47288, 8.308089999999998)"
Winterthur,Dead-City-Ruins,2015-05-23,"['Dead City Ruins ', "" Sophie's Earthquake ""]",,"(47.49881959999999, 8.723688899999999)"
Luzern,The-Retro-Festival,2015-05-23,['Mike & the Mechanics '],Pop,"(47.05016819999999, 8.309307200000001)"
Bern,Everton-Coroné-Trio,2015-05-23,['Everton Coroné Trio '],,"(46.9479739, 7.447446800000001)"
Zürich,Tango-Tanzabend,2015-05-23,['Live: Quinteto Mulenga '],,"(47.3768866, 8.541694)"
Kriens,Weekend-Phantom,2015-05-23,['Weekend Phantom '],,"(47.03419779999999, 8.277255199999997)"
Baden,Wehadtoleave,2015-05-23,['Wehadtoleave '],,"(47.47288, 8.308089999999998)"
Zürich,Big-John-Bates,2015-05-23,['Big John Bates '],,"(47.3768866, 8.541694)"
Luzern,Atze-Datze,2015-05-23,['Atze Datze '],,"(47.05016819999999, 8.309307200000001)"
Zug,Galmet,2015-05-23,['Galmet '],,"(47.1661672, 8.5154946)"
Winterthur,Dirty-Fences,2015-05-23,['Dirty Fences '],,"(47.49881959999999, 8.723688899999999)"
Zürich,Go-Zilla,2015-05-23,['Go Zilla '],,"(47.3768866, 8.541694)"
Zürich,District-Five-Quartet,2015-05-23,"['Vojko Huter ', ' Paul Amereller ', ' Xaver Rüegg ', ' Tapiwa Svosve ']",,"(47.3768866, 8.541694)"
Zürich,R.-A.-The-Rugged-Man,2015-05-23,"['R. A. The Rugged Man ', ' DJs Texx Be ']",,"(47.3768866, 8.541694)"
Solothurn,The-Goddamn-Gallows,2015-05-23,['The Goddamn Gallows '],,"(47.2088348, 7.532291)"
Bern,Neujahrskonzert,2015-01-02,"[' Martin Grubinger ', ' Valer Sabadus ']",Classic,"(46.9479739, 7.447446800000001)"
Bern,Neujahrskonzert,2015-01-02,"[' Martin Grubinger ', ' Valer Sabadus ']",Classic,"(46.9479739, 7.447446800000001)"
Wettingen,Neujahrskonzert,2015-01-02,[' Karen Gomyo '],Classic,"(47.4659503, 8.3265988)"
Luzern,Il-regno-di-Napoli,2015-01-02,"[' Milo Karadagli ', ' Maria Anikina ']",Classic,"(47.05016819999999, 8.309307200000001)"
Chur,Neujahrskonzert,2015-01-02,[' Rie Koyama '],Classic,"(46.85078350000001, 9.531985900000002)"
Basel,Orgelspiel-zum-Feierabend,2015-01-02,['Oleksandra Kopan '],Classic,"(47.55959860000001, 7.588576099999999)"
Basel,Rauhe-Nächte-ein-Weihnachtszyklus,2015-01-02,"['Volker Biesenbender ', ' Bernhard Bücker ', ' Michelagelo Rinaldi ']",Classic,"(47.55959860000001, 7.588576099999999)"
Schaffhausen,Upstairs-&-Loud,2015-01-02,['Trigger '],Electronic,"(47.6958897, 8.6380488)"
Stans,Sommer-Brunch-mit-Cello-Konzert,2014-07-20,['Ian Maksin '],Classic,"(46.9571926, 8.3659672)"
St.-Moritz,Festival-da-Jazz,2014-07-20,"[' Jaco McPhearson ', ' Stormy Monday ', ' John Dolby DiBoy ', ' Tom Wallie ', ' Pedro Jezerbaum ']",,"(46.4907973, 9.835507899999998)"
Verbier,Verbier-Festival,2014-07-20,['Joaquín Achúcarro '],Classic,"(46.0960814, 7.2285512)"
