,ClubID,ClubName,Address,EventID,EventName,Date,LineUp,Location
0,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",707619.0,"Light My Fridays: with Ariane Effect, DJ H-ERA, Chris Ahn",2015-04-10,"['DJ H.ERA', 'Ariane Effect', 'Chris Ahn']","(46.7947773, 7.1568081)"
1,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",673119.0,Chris Ahn's 4AM Mixtape - Ep. 4,2014-11-14,['Chris Ahn'],"(46.7947773, 7.1568081)"
2,100121.0, Cyclo Café,"Boulevard de Pérolles 91, Fribourg",672938.0,Chris Ahn's 4AM Mixtape - Episode 1,2014-05-16,['Chris Ahn'],"(46.7947773, 7.1568081)"
6,10186.0, Rocking Chair,"Avenue de Gilamont 60; 1800, Vevey",365245.0,Hacienda 30th Birthday Tour,2012-05-05,"['', ' New Order) >>>Andrew Weatherall (Two Lone Swordsmen) >>>Darren Emerson (Detone', ' Underworld)<<<<<<<', '>>>>Peter Hook (Joy Division']","(46.4720036, 6.852230199999998)"
7,10186.0, Rocking Chair,"Avenue de Gilamont 60; 1800, Vevey",284885.0,Black & White Party,2010-06-30,['Lemonick'],"(46.4720036, 6.852230199999998)"
8,10186.0, Rocking Chair,"Avenue de Gilamont 60; 1800, Vevey",49151.0,Jamie Lidell,2008-04-23,['Jamie Lidell'],"(46.4720036, 6.852230199999998)"
9,102059.0, Acapella Bar,"Place de la Gare, 1957 Ardon, Valais, Suisse",693409.0,The Future Color Of Sound,2015-04-17,"['Dj Never Die', 'Jack Demon', 'Vitronic ']","(46.2084859, 7.270119599999999)"
10,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",881381.0,Lila mit Serafin,2016-09-23,"[' Christian Elefante', ' Emre', ' Valentin', ' Guel', 'Serafin']","(47.49477690000001, 8.717943900000002)"
11,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",862135.0,Backstreet Noise x Sunday Mess,2016-07-31,"[' Beppe Loda (Invisible City Editions)', ' Offen Music)', 'Vladimir Ivkovic (Salon Des Amateurs']","(47.49477690000001, 8.717943900000002)"
12,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",832959.0,Phantom Island Night,2016-05-06,"['Lexx (ESP Institute', ' Permanent Vacation', ' Kejeblos (Phantom Island)', ' DFA)']","(47.49477690000001, 8.717943900000002)"
13,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",796715.0,Heute Tanz mit Jan Schulte aka Bufiman aka Wolf Müller,2016-02-20,"['Jan Schulte', ' El Tigre Sound (zweikommasieben)', ' Wolf Müller', ' Bufiman']","(47.49477690000001, 8.717943900000002)"
14,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",776346.0,Heute Tanz mit Khidja,2015-11-28,['Khidja'],"(47.49477690000001, 8.717943900000002)"
15,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",767162.0,"Sunday Mess with Daniele Cosmo, Marc D'arrigo & Herman",2015-11-22,"[""Marc D'Arrigo"", 'Herman', 'Daniele Cosmo']","(47.49477690000001, 8.717943900000002)"
16,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",748880.0,Heute Tanz mit Disco Halal,2015-09-26,"['Kaan Düzarat (FOC Edits/Istanbul)', ' Mehmet Aslan (Huntleys & Palmers/Berlin)', ' Moscoman (Correspondant/Tel Aviv)']","(47.49477690000001, 8.717943900000002)"
17,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",752699.0,10 Jahre Verein Radio Stadtfilter,2015-09-18,"['Dave Eleanor', 'Lord Kesseli & The Drums']","(47.49477690000001, 8.717943900000002)"
18,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",715622.0,Heute Tanz mit Timothy J. Fairplay ,2015-05-23,"[' DJ Aunt One & Napoleton (Talen/Laserwolf)', ' Faber (Lux Rec)', 'Timothy J. Fairplay (Emotional Response)']","(47.49477690000001, 8.717943900000002)"
19,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",687027.0,Heute Tanz mit Alma Negra,2015-03-28,"['Alma Negra (Sofrito', ' Basic Fingers', ' Highlife)']","(47.49477690000001, 8.717943900000002)"
20,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",681287.0,Heute Tanz mit Lexx & Kejeblos,2015-02-21,"['Lexx (Permanent Vacation)', ' Kejeblos (Phantom Island)']","(47.49477690000001, 8.717943900000002)"
21,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",639235.0,Lux Rec presents,2014-10-18,"[' Cosmo & Faber', 'Cold Colors (F)']","(47.49477690000001, 8.717943900000002)"
22,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",639185.0,"Larytta (Creaked Records, Lausanne)",2014-10-10,"[' Tako & Jamie Tiller (Redlight Records', ' Lausanne)', ' Kejeblos (Phantom Islands)', ' Music From Memory / Amsterdam)', 'Larytta (Creaked Records', ' J. Sayne (Hum Records).']","(47.49477690000001, 8.717943900000002)"
23,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",639183.0,Kaboom,2014-10-04,"['DJ P-Tess', ' Faust (Bass Vandalizm).']","(47.49477690000001, 8.717943900000002)"
24,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",602242.0,Lux Rec,2014-06-14,"[' Daniele Cosmo', ' Fabio Riccio', 'Aurora Halal (Lovers Rock/Mutual Dreaming)']","(47.49477690000001, 8.717943900000002)"
25,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",589987.0,Das Lied Schläft in der Maschine,2014-05-03,"[' Raban', ' Oscar Schubaq', "" T'N'T"", ' LichtDEFEKTE von Van Nutt.', 'Eli Verveine']","(47.49477690000001, 8.717943900000002)"
26,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",569536.0,Lux Rec,2014-02-22,"['Twoets', 'LIVE: Alessandro Parisi (I)', 'D Cosmo']","(47.49477690000001, 8.717943900000002)"
27,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",538498.0,Schlaflos in Winterthur with James Pants,2013-12-14,"['James Pants (Stones Throw/USA)', 'J. Sayne (Hum-Records)', 'Kejeblos (Drumpoet)']","(47.49477690000001, 8.717943900000002)"
28,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",529736.0,Radio Stadtfilter Party,2013-11-22,"[' Malik', 'MTDF', ' Das Pferd  (live)']","(47.49477690000001, 8.717943900000002)"
29,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",538495.0,Lux Rec,2013-11-16,"['', 'CCO', 'Echo 106', 'D Cosmo & Faber']","(47.49477690000001, 8.717943900000002)"
30,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",513379.0,Das House w TAF,2013-09-13,"[' Das HOUSE)', 'TAF (Art Of Dark', 'Berber & Pasta (Lost Promises', 'Hermansson & Martinez (Schwerelos)', ' Baile Musik - DE)']","(47.49477690000001, 8.717943900000002)"
31,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",457465.0,Das Lied Schläft in der Maschine,2013-04-27,"[' Beda', 'Manuell', ' Raban', ' P.Bell']","(47.49477690000001, 8.717943900000002)"
32,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",455872.0,Das House,2013-03-22,"['', ' Akt )', 'Christian Schiemann ( Sasso', ""MALEKO'S BEUTEL & AMARU (Das House)""]","(47.49477690000001, 8.717943900000002)"
33,10242.0, Kraftfeld,"Lagerplatz 18; 8400, Winterthur",437522.0,Kaboom - Enter the Future Bass Zone,2013-01-05,"['DJs: Nik!', ' P-Tess']","(47.49477690000001, 8.717943900000002)"
