,location,event,date,artists,genre,coordinates
1342,Bern,FESTIVAL SAINT GHETTO,2014-11-20,[ATOM TM],,"(46.9479739, 7.4474468)"
1343,Bern,FESTIVAL SAINT GHETTO,2014-11-21,[BEN FROST],,"(46.9479739, 7.4474468)"
1344,Pratteln,ROCK POWER FESTIVAL,2014-11-22,[BLAZE],,"(47.5183198, 7.6919889)"
1345,Lausanne,LES URBAINES,2014-12-05,"[SSSS (Samuel Savenberg), MSHR]",,"(46.5196535, 6.6322734)"
1346,Lausanne,LES URBAINES,2014-12-06,"[THE BONGOLEEROS, GRAUTON (Karen Geyer), DUBAIS, NIKI TIPHTICOGLOU]",,"(46.5196535, 6.6322734)"
1347,Le Paquier,CHRISTMAS ROCK,2014-12-20,[STEVANS],,"(46.5936084, 7.0554305)"
1348,Carouge,ANTIGEL,2015-01-23,[AL KENT],,"(46.1829674, 6.1378539)"
1349,Geneve,ANTIGEL,2015-01-24,[WASULU SELECTA],,"(46.2043907, 6.1431577)"
1350,Geneve,ANTIGEL,2015-01-25,[FINK],,"(46.2043907, 6.1431577)"
1351,Confignon,ANTIGEL,2015-01-26,[STEWART WALKER],,"(46.1740305, 6.0835592)"
1352,Geneve,ANTIGEL,2015-01-27,[EARTH],,"(46.2043907, 6.1431577)"
1353,Perly-Certoux,ANTIGEL,2015-01-28,[XYLOURIS WHITE],,"(46.1553483, 6.0945809)"
1354,Geneve,ANTIGEL,2015-01-29,"[ROSS DALY, DEAN BLUNT]",,"(46.2043907, 6.1431577)"
1355,Le Lignon,ANTIGEL,2015-01-30,[GHOSTPOET],,"(46.203703, 6.0961889)"
1356,Collonge Bellerive,ANTIGEL,2015-01-31,[CHASSOL],,"(46.2514024, 6.2022904)"
1357,Thonex,ANTIGEL,2015-02-01,[DJ SHADOW & CUT CHEMIST : RENEGADES OF RHYTHM],,"(46.19283739999999, 6.202767)"
1358,Troinex,ANTIGEL,2015-02-02,[TOUMANI ET SIDIKI DIABATE],,"(46.1640891, 6.1450701)"
1359,Genthod,ANTIGEL,2015-02-03,[COLD SPECKS],,"(46.2644048, 6.1546616)"
1360,Le Lignon,ANTIGEL,2015-02-04,[TRICKY],,"(46.203703, 6.0961889)"
1361,Onex,ANTIGEL,2015-02-05,[BOMBINO],,"(46.183541, 6.1002345)"
1362,Le Lignon,ANTIGEL,2015-02-06,[TINDERSTICKS],,"(46.203703, 6.0961889)"
1363,Veyrier,ANTIGEL,2015-02-07,[OLOF ARNALDS],,"(46.1685728, 6.1689583)"
1364,Geneve,ANTIGEL,2015-02-08,[NISENNENMONDAI],,"(46.2043907, 6.1431577)"
1365,Geneve,ANTIGEL,2015-02-25,[JONNY GREENWOOD],,"(46.2043907, 6.1431577)"
1366,Martigny,ECHOOOES FESTIVAL,2015-02-27,[BONEY M],,"(46.1049798, 7.075533399999999)"
1367,Martigny,ECHOOOES FESTIVAL,2015-02-28,[DJ OTHELLO],,"(46.1049798, 7.075533399999999)"
1368,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-26,[DAVID RODIGAN],,"(46.3435634, 7.012033)"
1369,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-27,[JULIO BASHMORE],,"(46.3435634, 7.012033)"
1370,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-28,[BRANDT BRAUER FRICK],,"(46.3435634, 7.012033)"
1371,Leysin,WORLDWIDE FESTIVAL LEYSIN,2015-03-29,[MATTHEW HALSALL],,"(46.3435634, 7.012033)"
1372,Geneve,ELECTRON,2015-04-02,[BOYS NOIZE],,"(46.2043907, 6.1431577)"
1373,Geneve,ELECTRON,2015-04-03,[JOHN TALABOT],,"(46.2043907, 6.1431577)"
1374,Geneve,ELECTRON,2015-04-04,[SQUARE PUSHER],,"(46.2043907, 6.1431577)"
1375,Geneve,ELECTRON,2015-04-05,[SBTRKT],,"(46.2043907, 6.1431577)"
1376,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-16,[EST ESBJORN SVENSSON],,"(47.5595986, 7.5885761)"
1377,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-17,[YARON HERMAN],,"(47.5595986, 7.5885761)"
1378,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-19,[DINO SALUZZI],,"(47.5595986, 7.5885761)"
1379,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-20,[STANLEY CLARKE],,"(47.5595986, 7.5885761)"
1380,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-21,[TILL BRONNER],,"(47.5595986, 7.5885761)"
1381,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-22,[ANOUAR BRAHEM],,"(47.5595986, 7.5885761)"
1382,Bale (Basel),JAZZFESTIVAL BASEL,2015-04-23,[MARC PERRENOUD],,"(47.5595986, 7.5885761)"
1383,Lausanne,BALELEC,2015-05-08,[YANAC],,"(46.5196535, 6.6322734)"
1384,Fribourg,DUPLEX,2015-05-15,[BAR9],,"(46.8064773, 7.161971899999999)"
1385,Fribourg,DUPLEX,2015-05-16,[MARCEL VOGEL],,"(46.8064773, 7.161971899999999)"
1386,La Chaux du Milieu,CORBAK,2015-05-20,"[4YGRECS, BZZZz (Olivier Gabus et Nathalie Dubois)]",,"(47.0131911, 6.703647699999999)"
1387,La Chaux du Milieu,CORBAK,2015-05-21,"[NICOLAS FRAISSINET, YANAC]",,"(47.0131911, 6.703647699999999)"
1388,La Chaux du Milieu,CORBAK,2015-05-22,[YAEL NAIM],,"(47.0131911, 6.703647699999999)"
1389,La Chaux du Milieu,CORBAK,2015-05-23,[ARTHUR H],,"(47.0131911, 6.703647699999999)"
1390,Duedingen,BAD BONN KILBI,2015-05-28,[THE BLACK ANGELS],,"(46.8464198, 7.191017899999999)"
1391,Crissier,BLUES RULES CRISSIER,2015-05-29,[LUCKY PETERSON],,"(46.55186870000001, 6.5743458)"
1392,Crissier,BLUES RULES CRISSIER,2015-05-30,[SCOTT H BIRAM],,"(46.55186870000001, 6.5743458)"
1393,Aarberg,STARS OF SOUNDS,2015-06-03,[AMY MACDONALD],,"(47.0420553, 7.2751012)"
1394,Pully,FESTIVAL'ENTRE2,2015-06-04,[NICOLAS FRAISSINET],,"(46.5092681, 6.6654949)"
1395,Aarberg,STARS OF SOUNDS,2015-06-05,[JAN DELAY],,"(47.0420553, 7.2751012)"
1396,Delle,PORRENTRUY-DELLE JAZZ FESTIVAL,2015-06-06,[FLORENT KIRCHMEYER],,"(47.50752, 6.997808)"
1397,Neuchatel,FESTI NEUCH,2015-06-11,[HUBERT FELIX THIEFAINE],,"(46.9899874, 6.9292732)"
1398,Neuchatel,FESTI NEUCH,2015-06-12,[FATBOY SLIM],,"(46.9899874, 6.9292732)"
1399,Neuchatel,FESTI NEUCH,2015-06-13,[MILKY CHANCE],,"(46.9899874, 6.9292732)"
1400,Neuchatel,FESTI NEUCH,2015-06-14,[YANNICK NOAH],,"(46.9899874, 6.9292732)"
1401,Wohlen,TOUCH THE LAKE,2015-06-18,[GAVLYN],,"(47.3493653, 8.2768762)"
1402,Wohlen,TOUCH THE LAKE,2015-06-19,[DABU FANTASTIC],,"(47.3493653, 8.2768762)"
1403,Wohlen,TOUCH THE LAKE,2015-06-20,[RA THE RUGGED MAN],,"(47.3493653, 8.2768762)"
1404,Cully,LAVAUX CLASSIQUE,2015-06-21,"[CREATIV' HARP, DMITRI DEMIASHKIN, CEDRIC TIBERGHIEN]",,"(46.4895985, 6.7290888)"
1405,Cully,LAVAUX CLASSIQUE,2015-06-23,[HELMUT DEUTSCH],,"(46.4895985, 6.7290888)"
1406,Cully,LAVAUX CLASSIQUE,2015-06-24,[MARC ANDRE HAMELIN],,"(46.4895985, 6.7290888)"
1407,Saint Gallen,OPEN AIR DE SAINT GALLEN,2015-06-25,[FRANK TURNER],,"(47.4244818, 9.3767173)"
1408,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2015-06-26,[FAKEAR],,"(46.29413110000001, 7.533536199999999)"
1409,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2015-06-27,[NIGHTMARES ON WAX],,"(46.29413110000001, 7.533536199999999)"
1410,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2015-06-28,[THE TWO],,"(46.29413110000001, 7.533536199999999)"
1411,Geneve,MUSIQUES EN ETE,2015-07-02,[ORCHESTRE DE LA SUISSE ROMANDE],,"(46.2043907, 6.1431577)"
1412,Geneve,MUSIQUES EN ETE,2015-07-03,[AZIZ SAHMAOUI],,"(46.2043907, 6.1431577)"
1413,Montreux,MONTREUX JAZZ FESTIVAL,2015-07-04,"[SINEAD O'CONNOR, BUGGE WESSELTOFT, THYLACINE]",,"(46.4312213, 6.9106799)"
1414,Montreux,MONTREUX JAZZ FESTIVAL,2015-07-05,"[THE CHEMICAL BROTHERS, TOMMY CASTRO, FOXYGEN]",,"(46.4312213, 6.9106799)"
1415,Geneve,MUSIQUES EN ETE,2015-07-06,[BRAD MEHLDAU],,"(46.2043907, 6.1431577)"
1416,Geneve,MUSIQUES EN ETE,2015-07-07,[OPERA DE CHAMBRE DE GENEVE],,"(46.2043907, 6.1431577)"
1417,Sierre,SIERRE BLUES FESTIVAL,2015-07-08,[THE TWO],,"(46.29413110000001, 7.533536199999999)"
1418,Munchenstein,SUMMERSTAGE BASEL,2015-07-09,[MAX HERRE & KAHEDI RADIO ORCHESTRA],,"(47.5226485, 7.6150661)"
1419,Munchenstein,SUMMERSTAGE BASEL,2015-07-10,[KATIE MELUA],,"(47.5226485, 7.6150661)"
1420,Munchenstein,SUMMERSTAGE BASEL,2015-07-11,[PATENT OCHSNER],,"(47.5226485, 7.6150661)"
1421,Sierre,SIERRE BLUES FESTIVAL,2015-07-12,[JEROME PIETRI],,"(46.29413110000001, 7.533536199999999)"
1422,Geneve,MUSIQUES EN ETE,2015-07-13,[GREGOIRE MARET],,"(46.2043907, 6.1431577)"
1423,Geneve,MUSIQUES EN ETE,2015-07-14,[DAVID GRIMAL],,"(46.2043907, 6.1431577)"
1424,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-15,[DEVIN TOWNSEND],,"(46.1049798, 7.075533399999999)"
1425,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-16,[MALIA],,"(46.8496401, 6.845060800000001)"
1426,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-17,[ERNIE WATTS],,"(46.8496401, 6.845060800000001)"
1427,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2015-07-18,[KYLE EASTWOOD],,"(46.8496401, 6.845060800000001)"
1428,Zurich,LIVE AT SUNSET,2015-07-19,[XAVIER NAIDOO],,"(47.3768866, 8.541694)"
1429,Nyon,PALEO FESTIVAL,2015-07-20,[ROBBIE WILLIAMS],,"(46.3832683, 6.2347852)"
1430,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-21,[TERROR],,"(46.1049798, 7.075533399999999)"
1431,Nyon,PALEO FESTIVAL,2015-07-23,[JOHNNY HALLYDAY],,"(46.3832683, 6.2347852)"
1432,Nyon,PALEO FESTIVAL,2015-07-24,[120 SECONDES PRESENTE LA SUISSE (KUCHOLL ET VEILLON)],,"(46.3832683, 6.2347852)"
1433,Sion,PALP FESTIVAL (PLACE A LA PLACE),2015-07-25,[BLACK YAYA],,"(46.2331221, 7.360625999999999)"
1434,Nyon,PALEO FESTIVAL,2015-07-26,[LOUIS SCHWIZGEBEL WANG],,"(46.3832683, 6.2347852)"
1435,Geneve,MUSIQUES EN ETE,2015-07-27,[ROY HARGROVE],,"(46.2043907, 6.1431577)"
1436,Geneve,MUSIQUES EN ETE,2015-07-28,[STEPHAN GENZ],,"(46.2043907, 6.1431577)"
1437,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-29,[BARON SAMEDI],,"(46.1049798, 7.075533399999999)"
1438,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-30,[ZOUFRIS MARACAS],,"(46.1049798, 7.075533399999999)"
1439,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-07-31,[KABAK],,"(46.1049798, 7.075533399999999)"
1440,Geneve,FETES DE GENEVE,2015-08-01,[ALIOSE],,"(46.2043907, 6.1431577)"
1441,Geneve,FETES DE GENEVE,2015-08-02,[THOMAS SCHOEFFLER JR],,"(46.2043907, 6.1431577)"
1442,Geneve,MUSIQUES EN ETE,2015-08-03,[SONS OF KEMET],,"(46.2043907, 6.1431577)"
1443,Geneve,MUSIQUES EN ETE,2015-08-04,[ORCHESTRE DE CHAMBRE DE GENEVE],,"(46.2043907, 6.1431577)"
1444,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-08-05,[MACAO],,"(46.1049798, 7.075533399999999)"
1445,Geneve,MUSIQUES EN ETE,2015-08-06,[NELSON GOERNER],,"(46.2043907, 6.1431577)"
1446,Geneve,MUSIQUES EN ETE,2015-08-07,[MAZALDA],,"(46.2043907, 6.1431577)"
1447,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-08-08,[THE DANSANT],,"(46.1049798, 7.075533399999999)"
1448,Geneve,FETES DE GENEVE,2015-08-09,[UROS PERICH],,"(46.2043907, 6.1431577)"
1449,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2015-08-10,[MADBALL],,"(46.1049798, 7.075533399999999)"
1450,Geneve,MUSIQUES EN ETE,2015-08-11,[IL GIARDINO ARMONICO],,"(46.2043907, 6.1431577)"
1451,Le Locle,ROCK ALTITUDE,2015-08-12,[THE DILLINGER ESCAPE PLAN],,"(47.0577195, 6.7487354)"
1452,Le Locle,ROCK ALTITUDE,2015-08-13,[CHARLIE WINSTON],,"(47.0577195, 6.7487354)"
1453,Le Locle,ROCK ALTITUDE,2015-08-14,[LOFOFORA],,"(47.0577195, 6.7487354)"
1454,Le Locle,ROCK ALTITUDE,2015-08-15,[INTERPOL],,"(47.0577195, 6.7487354)"
1455,Geneve,MUSIQUES EN ETE,2015-08-19,[MARCELO D2],,"(46.2043907, 6.1431577)"
1456,Penthalaz,VENOGE FESTIVAL,2015-08-20,[UB40],,"(46.6097989, 6.525440199999999)"
1457,Penthalaz,VENOGE FESTIVAL,2015-08-21,[KADEBOSTANY],,"(46.6097989, 6.525440199999999)"
1458,Penthalaz,VENOGE FESTIVAL,2015-08-22,[SEETHER],,"(46.6097989, 6.525440199999999)"
1459,Gampel,OPEN AIR DE GAMPEL,2015-08-23,[CLUESO],,"(46.3157745, 7.741944099999999)"
1460,Geneve,FESTIVAL DE LA BATIE,2015-08-28,[GIRLS IN HAWAII],,"(46.2043907, 6.1431577)"
1461,Geneve,FESTIVAL DE LA BATIE,2015-08-29,[JOAKIM],,"(46.2043907, 6.1431577)"
1462,Geneve,FESTIVAL DE LA BATIE,2015-08-31,[MARK LANEGAN],,"(46.2043907, 6.1431577)"
1463,Geneve,FESTIVAL DE LA BATIE,2015-09-01,[STEPHAN EICHER],,"(46.2043907, 6.1431577)"
1464,Geneve,FESTIVAL DE LA BATIE,2015-09-02,[PITA],,"(46.2043907, 6.1431577)"
1465,Geneve,FESTIVAL DE LA BATIE,2015-09-03,[GLI ANGELI],,"(46.2043907, 6.1431577)"
1466,Veyras en Valais,TOHU BOHU A VEYRAS,2015-09-04,[CHARLIE WINSTON],,"(46.3045233, 7.5389954)"
1467,Veyras en Valais,TOHU BOHU A VEYRAS,2015-09-05,[YOUSSOUPHA],,"(46.3045233, 7.5389954)"
1468,Geneve,FESTIVAL DE LA BATIE,2015-09-07,[MALCOM MIDDLETON],,"(46.2043907, 6.1431577)"
1469,Geneve,FESTIVAL DE LA BATIE,2015-09-08,[PIERRE OMER],,"(46.2043907, 6.1431577)"
1470,Geneve,FESTIVAL DE LA BATIE,2015-09-09,[DJ YANN],,"(46.2043907, 6.1431577)"
1471,Nyon,FESTIVAL DE LA BATIE,2015-09-10,[SONNY AND THE SUNSETS],,"(46.3832683, 6.2347852)"
1472,Carouge,MURS DU SON A CAROUGE,2015-09-11,[THE FIVE HILLS],,"(46.1829674, 6.1378539)"
1473,Carouge,MURS DU SON A CAROUGE,2015-09-12,[RANDOM RAGE],,"(46.1829674, 6.1378539)"
1474,Zurich,CHANSONS EN STOK,2015-09-15,[THIERRY ROMANENS],,"(47.3768866, 8.541694)"
1475,Zurich,CHANSONS EN STOK,2015-09-16,[BOULE],,"(47.3768866, 8.541694)"
1476,Zurich,CHANSONS EN STOK,2015-09-17,[BERTRAND LOUIS],,"(47.3768866, 8.541694)"
1477,Renens,TABARNAK DE FESTIVAL,2015-09-18,[KAIN (folk)],,"(46.53381, 6.59137)"
1478,Renens,TABARNAK DE FESTIVAL,2015-09-19,[DANIEL BOUCHER],,"(46.53381, 6.59137)"
1479,Renens,TABARNAK DE FESTIVAL,2015-09-20,[KADEBOSTANY],,"(46.53381, 6.59137)"
1480,Lausanne,HOLY GROOVE FESTIVAL,2015-09-30,[THE TWO],,"(46.5196535, 6.6322734)"
1481,Chamonix Mont Blanc,JAZZCONTREBAND,2015-10-01,[MARIAN BADOI],,"(45.923697, 6.869433)"
1482,Geneve,JAZZCONTREBAND,2015-10-03,[MARCOS JIMENEZ],,"(46.2043907, 6.1431577)"
1483,Geneve,JAZZCONTREBAND,2015-10-05,[HORACIO FUMERO],,"(46.2043907, 6.1431577)"
1484,Seynod,JAZZCONTREBAND,2015-10-06,[STEFANO SACCON],,"(45.8890357, 6.102035799999999)"
1485,Annecy,JAZZCONTREBAND,2015-10-07,[L'IRONIE DU SON],,"(45.899247, 6.129384)"
1486,Yverdon Les Bains,JAZZCONTREBAND,2015-10-08,[OLIVIA PEDROLI],,"(46.7784736, 6.641183)"
1487,Le Lignon,VERNIER SUR ROCK,2015-10-09,[YOUSSOUPHA],,"(46.203703, 6.0961889)"
1488,Le Lignon,VERNIER SUR ROCK,2015-10-10,[NO ONE IS INNOCENT],,"(46.203703, 6.0961889)"
1489,Gstaad,MDRNTY,2015-10-11,[MACEO PLEX  (MAETRIK)],,"(46.4717588, 7.2865728)"
1490,Annemasse,JAZZCONTREBAND,2015-10-14,[AVISHAI COHEN (contrebasse)],,"(46.19325300000001, 6.234158)"
1491,Seynod,JAZZCONTREBAND,2015-10-15,[RICHARD BONA],,"(45.8890357, 6.102035799999999)"
1492,Annecy,JAZZCONTREBAND,2015-10-16,[MATTHIEU LLODRA],,"(45.899247, 6.129384)"
1493,Saint Claude,JAZZCONTREBAND,2015-10-17,[DAVID CHEVALLIER (SONART)],,"(46.387405, 5.867765899999999)"
1494,Geneve,JAZZCONTREBAND,2015-10-18,[OHAD TALMOR],,"(46.2043907, 6.1431577)"
1495,Geneve,JAZZCONTREBAND,2015-10-19,[JACQUES SIRON],,"(46.2043907, 6.1431577)"
1496,Nyon,NYON'S ON FIRE,2015-10-23,[ABORTED],,"(46.3832683, 6.2347852)"
1497,Nyon,NYON'S ON FIRE,2015-10-24,[BLACK BOMB A],,"(46.3832683, 6.2347852)"
1498,Lausanne,FESTIVAL BACH DE LAUSANNE,2015-10-25,[ENSEMBLE BAROQUE ORFEO],,"(46.5196535, 6.6322734)"
1499,Lausanne,JAZZ ONZE +,2015-10-28,[CHINA MOSES],,"(46.5196535, 6.6322734)"
1500,Lausanne,JAZZ ONZE +,2015-10-31,[GABRIEL ZUFFEREY],,"(46.5196535, 6.6322734)"
1501,Lausanne,METROPOP FESTIVAL,2015-11-05,[ALPHA BLONDY],,"(46.5196535, 6.6322734)"
1502,Lausanne,METROPOP FESTIVAL,2015-11-06,[CALEXICO],,"(46.5196535, 6.6322734)"
1503,Lausanne,METROPOP FESTIVAL,2015-11-07,[ARCHIVE],,"(46.5196535, 6.6322734)"
1504,Lausanne,JAZZ ONZE +,2015-11-11,[WADADA LEO SMITH],,"(46.5196535, 6.6322734)"
1505,Bern,FESTIVAL SAINT GHETTO,2015-11-19,[OLOF ARNALDS],,"(46.9479739, 7.4474468)"
1506,Bern,FESTIVAL SAINT GHETTO,2015-11-20,[NENEH CHERRY & ROCKETNUMBERNINE],,"(46.9479739, 7.4474468)"
1507,Bern,FESTIVAL SAINT GHETTO,2015-11-21,[BIANCA CASADY],,"(46.9479739, 7.4474468)"
1508,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2015-11-26,[MIMETIC],,"(46.2043907, 6.1431577)"
1509,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2015-11-27,"[NATHAN FAKE, PANTHA DU PRINCE]",,"(46.2043907, 6.1431577)"
1510,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2015-11-28,"[DOMINIK EULBERG, JOHN PAUL JONES]",,"(46.2043907, 6.1431577)"
1511,Le Paquier,CHRISTMAS ROCK,2015-12-19,[TYAGO (chanson)],,"(46.5936084, 7.0554305)"
1512,Geneve,PSYCH FEST GENEVE,2016-01-16,[DJ KORTO],,"(46.2043907, 6.1431577)"
1513,Geneve,PSYCH FEST GENEVE,2016-01-22,[STRANGE MILK],,"(46.2043907, 6.1431577)"
1514,Geneve,PSYCH FEST GENEVE,2016-01-23,[MAGIC & NAKED],,"(46.2043907, 6.1431577)"
1515,Vernier,ANTIGEL,2016-01-29,[MYKKI BLANCO],,"(46.2122638, 6.1052686)"
1516,Vernier,ANTIGEL,2016-01-30,[BRODINSKI],,"(46.2122638, 6.1052686)"
1517,Geneve,ANTIGEL,2016-01-31,[JUNIP (JOSE GONZALEZ)],,"(46.2043907, 6.1431577)"
1518,Geneve,ANTIGEL,2016-02-01,[BALTHAZAR],,"(46.2043907, 6.1431577)"
1519,Le Lignon,ANTIGEL,2016-02-02,[MICHAEL CHAPMAN],,"(46.203703, 6.0961889)"
1520,Satigny,ANTIGEL,2016-02-03,[SAM AMIDON],,"(46.215764, 6.0332425)"
1521,Vernier,ANTIGEL,2016-02-04,[DAN SHAKE],,"(46.2122638, 6.1052686)"
1522,Vernier,ANTIGEL,2016-02-05,[ANGEL HAZE],,"(46.2122638, 6.1052686)"
1523,Geneve,ANTIGEL,2016-02-06,[MARIANNE FAITHFULL],,"(46.2043907, 6.1431577)"
1524,Geneve,ANTIGEL,2016-02-07,[GENEVA CAMERATA],,"(46.2043907, 6.1431577)"
1525,Confignon,ANTIGEL,2016-02-08,[CARD ON SPOKES],,"(46.1740305, 6.0835592)"
1526,Geneve,ANTIGEL,2016-02-10,[NICOLAS GODIN],,"(46.2043907, 6.1431577)"
1527,Le Lignon,ANTIGEL,2016-02-11,[ZITA SWOON],,"(46.203703, 6.0961889)"
1528,Le Lignon,ANTIGEL,2016-02-12,[ZITA SWOON],,"(46.203703, 6.0961889)"
1529,Vernier,ANTIGEL,2016-02-13,[CASSY],,"(46.2122638, 6.1052686)"
1530,Vernier,ANTIGEL,2016-02-14,[JEFF MILLS],,"(46.2122638, 6.1052686)"
1531,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-17,[RAINER TRUBY],,"(46.3435634, 7.012033)"
1532,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-18,[LEFTO],,"(46.3435634, 7.012033)"
1533,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-19,[KIDKANEVIL],,"(46.3435634, 7.012033)"
1534,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-20,[GILLES PETERSON],,"(46.3435634, 7.012033)"
1535,Lausanne,IMPETUS FESTIVAL SUISSE,2016-04-07,[LONELY WALK],,"(46.5196535, 6.6322734)"
1536,Lausanne,IMPETUS FESTIVAL SUISSE,2016-04-08,[AT THE DRIVE IN],,"(46.5196535, 6.6322734)"
1537,Fribourg,DUPLEX,2016-04-15,[MUZI],,"(46.8064773, 7.161971899999999)"
1538,Fribourg,DUPLEX,2016-04-16,[MIA KALTES],,"(46.8064773, 7.161971899999999)"
1539,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-20,[RICHARD GALLIANO],,"(47.5595986, 7.5885761)"
1540,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-21,[NILS LANDGREN],,"(47.5595986, 7.5885761)"
1541,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-22,[KENNY GARRETT],,"(47.5595986, 7.5885761)"
1542,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-24,[MARIUS NESET],,"(47.5595986, 7.5885761)"
1543,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-27,[MARTIN TINGVALL],,"(47.5595986, 7.5885761)"
1544,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-28,[ANDREAS SCHAERER],,"(47.5595986, 7.5885761)"
1545,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-29,[MARIA JOAO],,"(47.5595986, 7.5885761)"
1546,Monthey,ECHOOOES FESTIVAL,2016-04-30,[CASCADA],,"(46.2521873, 6.9469598)"
1547,Bale (Basel),JAZZFESTIVAL BASEL,2016-05-03,[PAOLO FRESU],,"(47.5595986, 7.5885761)"
1548,Geneve,MAPPING FESTIVAL,2016-05-04,[CALL SUPER],,"(46.2043907, 6.1431577)"
1549,Geneve,MAPPING FESTIVAL,2016-05-06,[SHACKLETON],,"(46.2043907, 6.1431577)"
1550,Geneve,MAPPING FESTIVAL,2016-05-07,[ORPHX],,"(46.2043907, 6.1431577)"
1551,Bale (Basel),JAZZFESTIVAL BASEL,2016-05-08,[ED MOTTA],,"(47.5595986, 7.5885761)"
1552,Bale (Basel),JAZZFESTIVAL BASEL,2016-05-10,[DEE DEE BRIDGEWATER],,"(47.5595986, 7.5885761)"
1553,La Chaux du Milieu,CORBAK,2016-05-11,[GAETAN],,"(47.0131911, 6.703647699999999)"
1554,La Chaux du Milieu,CORBAK,2016-05-12,[CHLOE LACAN],,"(47.0131911, 6.703647699999999)"
1555,La Chaux du Milieu,CORBAK,2016-05-13,[SOPHIE HUNGER],,"(47.0131911, 6.703647699999999)"
1556,La Chaux du Milieu,CORBAK,2016-05-14,[THE RAMBLING WHEELS],,"(47.0131911, 6.703647699999999)"
1557,Crissier,BLUES RULES CRISSIER,2016-05-20,[NAOMI SHELTON],,"(46.55186870000001, 6.5743458)"
1558,Crissier,BLUES RULES CRISSIER,2016-05-21,[CEDRIC BURNSIDE],,"(46.55186870000001, 6.5743458)"
1559,Carouge,LOKOS,2016-05-27,[RANDOM RAGE],,"(46.1829674, 6.1378539)"
1560,Carouge,LOKOS,2016-05-28,[ANTICHAMBRE],,"(46.1829674, 6.1378539)"
1561,Duedingen,BAD BONN KILBI,2016-06-02,[TY SEGALL],,"(46.8464198, 7.191017899999999)"
1562,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-03,"[INGRID ST-PIERRE, LES COWBOYS FRINGANTS]",,"(46.5092681, 6.6654949)"
1563,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-04,"[ANDREA LINDSAY, LES COWBOYS FRINGANTS]",,"(46.5092681, 6.6654949)"
1564,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-05,"[ROBERT CHARLEBOIS, NATASHA ST PIER]",,"(46.5092681, 6.6654949)"
1565,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-06,[ANDREA LINDSAY],,"(46.5092681, 6.6654949)"
1566,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-07,[MARIO PELCHAT],,"(46.5092681, 6.6654949)"
1567,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-08,"[FRED PELLERIN, COEUR DE PIRATE]",,"(46.5092681, 6.6654949)"
1568,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-09,[LYNDA LEMAY],,"(46.5092681, 6.6654949)"
1569,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-10,[PAULE ANDREE CASSIDY],,"(46.5092681, 6.6654949)"
1570,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-11,[LYNDA LEMAY],,"(46.5092681, 6.6654949)"
